Travessa Horizontal,Carga,Tempo,Tensao,Deformação,Derivada
0.0010136541277461,34.461555480957,0.104999996721745,0.5105415626808445,2.1893177705099356e-05,24245.26056758617
0.0013785695500701,47.360134124755895,0.125,0.7016316166630503,2.977472030388985e-05,28068.145882494635
0.0018245774526803,68.6489486694336,0.144999995827675,1.0170214617693867,3.940772036026566e-05,33679.25471360518
0.002270585127917,91.1584777832031,0.165000006556511,1.3504959671585643,4.9040715505766734e-05,28461.938177317126
0.0027571391001401,106.583969116211,0.185000002384186,1.5790217646846074,5.954944060777754e-05,29081.305491725354
0.0032842392556631,135.037826538086,0.204999998211861,2.0005603931568294,7.093389321086609e-05,34059.27264566449
0.003811339411186,158.929702758789,0.224999994039536,2.3545141149450224,8.231834581395249e-05,32886.36973772905
0.0042978936107829,183.432876586914,0.245000004768372,2.7175240975839112,9.282707582684449e-05,33967.89258459411
0.0047844473556324,207.119201660156,0.264999985694885,3.0684326171874963,0.0001033357960179784,33029.78651506713
0.0052710015552293,230.29150390625,0.284999996423721,3.411725983796296,0.00011384452603087042,33825.917679029386
0.0057981014833785,257.249450683594,0.305000007152557,3.8111029730902812,0.00012522897372307777,34324.00664173112
0.0064062937781272,286.909240722656,0.324999988079071,4.250507269965275,0.00013836487641743413,33528.027602740214
0.0070955788942228,320.689605712891,0.344999998807907,4.750957121672459,0.00015325224393569764,35112.64294162652
0.0078659559221705,362.00430297851597,0.365000009536743,5.3630267107928296,0.00016989105663435208,36351.81738117861
0.0087985172285698,410.712982177734,0.384999990463257,6.084636773003466,0.00019003276951554647,40155.74204147348
0.009690533261164,468.31875610351597,0.405000001192093,6.9380556459780145,0.00020929877453917928,42375.277215190494
0.0105014569271589,516.351196289063,0.425000011920929,7.649647352430562,0.00022681332456066738,41228.234236832825
0.01115019495046,555.797912597656,0.444999992847443,8.234043149594903,0.00024082494493434125,40479.950824933214
0.0118394800665556,595.164978027344,0.465000003576279,8.81725893373843,0.00025571231245260476,37929.420529816765
0.0125693113659509,634.118713378906,0.485000014305115,9.394351309317127,0.0002714754074719417,38317.393119079934
0.0133802341224509,681.661071777344,0.504999995231628,10.09868254484954,0.00028898993784991147,37939.55532001538
0.0142317039717454,725.792419433594,0.524999976158142,10.752480287905096,0.00030738021537247084,37588.86554859253
0.0150831729115453,774.982421875,0.545000016689301,11.481221064814815,0.0003257704732515184,39319.501581550285
0.0158535494847456,818.830993652344,0.564999997615814,12.130829535590282,0.0003424092761284147,39565.95873093768
0.0165428355103359,859.062072753906,0.584999978542328,12.726845522280088,0.00035729666329019225,31442.51714415179
0.0172726668097312,882.836975097656,0.605000019073486,13.079066297743053,0.00037305975830952923,8602.338322088006
0.0182863204827299,867.3435668945309,0.625,12.849534324363422,0.0003949529261928704,18589.42984918988
0.0190566970559303,913.0380859375,0.644999980926514,13.526490162037037,0.0004115917290697689,37898.579174047336
0.0197054359887261,946.662475585938,0.665000021457672,14.024629267939822,0.00042560336908695684,38559.348603232705
0.020394720195327,988.621765136719,0.685000002384186,14.646248372395837,0.0004404907169617063,39204.970262359246
0.0211245514947223,1027.46350097656,0.704999983310699,15.221681495949037,0.0004562538119810432,38010.0590403158
0.0217732904275181,1064.67810058594,0.725000023841858,15.77300889756948,0.00047026545199823115,38916.98601607024
0.0224220293603139,1101.07775878906,0.745000004768372,16.31226309317126,0.000484277092015419,36850.27397445188
0.0231113135669148,1136.36181640625,0.764999985694885,16.834989872685185,0.0004991644398901685,36740.01658135385
0.0238411448663101,1177.28747558594,0.785000026226044,17.44129593460652,0.0005149275349095055,37254.130083970784
0.0246520685323048,1219.74169921875,0.805000007152557,18.070247395833334,0.0005324420849309893,38751.00325909583
0.0254629903793102,1268.91271972656,0.824999988079071,18.798706958912,0.0005499565956654471,39837.75142754306
0.026273914045305,1313.9365234375,0.845000028610229,19.46572627314815,0.0005674711456869332,37574.247980750864
0.0270037453447003,1353.42797851563,0.865000009536743,20.050784866898223,0.00058323424070627,39861.07771867048
0.0276524842774961,1393.43603515625,0.884999990463257,20.64349681712963,0.000597245880723458,42704.7568282627
0.0282606761174975,1431.63647460938,0.904999971389771,21.209429253472297,0.0006103817735960583,36668.143846507184
0.0289094150502933,1459.84521484375,0.925000011920929,21.627336516203705,0.0006243934136132463,35024.341930853436
0.0296392463496886,1503.33422851563,0.944999992847443,22.271618200231554,0.0006401565086325831,37177.21563454764
0.030409622922889,1540.70751953125,0.964999973773956,22.825296585648147,0.0006567953115094817,35544.88498159032
0.0311799994960893,1583.17651367187,0.985000014305115,23.45446686921289,0.0006734341143863781,38741.477172449115
0.031909832614474,1625.33337402344,1.00499999523163,24.079012948495407,0.000689197248692743,43186.852865854045
0.032518022635486,1666.26086425781,1.02499997615814,24.68534613715274,0.0007023331022783153,40356.62723982462
0.0330856710206717,1695.17712402344,1.04499995708466,25.11373517071763,0.0007145933265803823,36005.74352871871
0.0336533157678787,1725.85485839844,1.06500005722046,25.568220124421334,0.0007268534723083954,37341.06826425542
0.0342615094268695,1759.2216796875,1.08500003814697,26.062543402777777,0.0007399894044680238,36491.032275319914
0.0349507936334703,1794.59265136719,1.10500001907349,26.586557798032445,0.000754876752342771,36205.2726358627
0.0357617172994651,1838.79577636719,1.125,27.241418909143555,0.000772391302364257,36223.654482295155
0.0365726409654599,1880.2421875,1.14499998092651,27.855439814814815,0.0007899058523857431,38834.17622902698
0.0373835646314546,1930.61779785156,1.16499996185303,28.601745153356443,0.0008074204024072268,40011.932966360706
